time,price,portfolio_value,action,action_name,amount_bought,amount_sold,cash,shares,commission
0,16.149666,10000.000000,4,nothing,0.000000,0.000000,10000.000000,0.000000,0.000000
1,16.167992,10000.000000,4,sell-large,0.000000,0.000000,10000.000000,0.000000,0.000000
2,16.099269,10000.000000,0,sell-large,0.000000,0.000000,10000.000000,0.000000,0.000000
3,16.039710,10000.000000,2,nothing,0.000000,0.000000,10000.000000,0.000000,0.000000
4,15.970989,9999.553011,0,buy-large,347.533864,0.000000,5000.000000,347.533864,10.000000
5,15.920592,9958.155472,0,nothing,0.000000,0.000000,5000.000000,347.533864,0.000000
6,16.406228,9961.339925,0,nothing,0.000000,0.000000,5000.000000,347.533864,0.000000
7,16.447462,9892.874711,4,nothing,0.000000,0.000000,5000.000000,347.533864,0.000000
8,16.594068,9883.205157,4,sell-large,0.000000,173.766932,7441.544481,173.766932,4.892875
9,16.626138,9884.346049,0,sell-large,0.000000,86.883466,8659.933158,86.883466,2.441661
10,16.387902,9895.889560,1,nothing,0.000000,0.000000,8659.933158,86.883466,0.000000
11,16.282529,9893.481244,4,buy-small,60.754586,0.000000,7793.939842,147.638052,1.731987
12,16.167992,9889.352491,0,sell-large,0.000000,73.819026,8841.611002,73.819026,2.099541
13,16.012222,9882.588528,2,nothing,0.000000,0.000000,8841.611002,73.819026,0.000000
14,15.938919,10029.646101,4,buy-large,312.866387,0.000000,4420.805501,386.685413,8.841611
15,15.563239,10016.065161,4,sell-large,0.000000,193.342707,7219.616960,193.342707,5.608841
16,15.522005,10003.082162,0,sell-large,0.000000,96.671353,8615.044613,96.671353,2.796448
17,15.833545,10025.226959,0,nothing,0.000000,0.000000,8615.044613,96.671353,0.000000
18,15.833545,10024.341160,3,nothing,0.000000,0.000000,8615.044613,96.671353,0.000000
19,16.007640,10011.303873,0,sell-small,0.000000,9.667135,8755.692408,87.004218,0.281859
20,15.764822,9992.170775,1,nothing,0.000000,0.000000,8755.692408,87.004218,0.000000
21,15.700682,9989.739256,0,buy-small,61.485799,0.000000,7880.123167,148.490017,1.751138
22,15.586146,10006.066475,2,nothing,0.000000,0.000000,7880.123167,148.490017,0.000000
23,15.425793,10069.914881,4,buy-large,274.649701,0.000000,3940.061584,423.139718,7.880123
24,15.425793,9974.609390,4,sell-large,0.000000,211.569859,6998.858379,211.569859,6.129853
25,15.311257,9954.670920,4,sell-large,0.000000,105.784929,8483.758134,105.784929,2.975751
26,15.100510,9949.080478,0,sell-large,0.000000,52.892465,9217.743614,52.892465,1.470913
27,14.967647,9945.687955,0,nothing,0.000000,0.000000,9217.743614,52.892465,0.000000
28,14.963066,9933.571667,0,nothing,0.000000,0.000000,9217.743614,52.892465,0.000000
29,15.274606,9935.267928,0,nothing,0.000000,0.000000,9217.743614,52.892465,0.000000
30,15.219629,9918.062856,4,nothing,0.000000,0.000000,9217.743614,52.892465,0.000000
31,15.123417,9911.183242,1,sell-large,0.000000,26.446232,9567.202916,26.446232,0.700319
32,15.036369,9900.577755,1,buy-small,73.408396,0.000000,8610.482624,99.854628,1.913441
33,14.843949,9919.435130,1,buy-small,66.512688,0.000000,7749.434362,166.367316,1.722097
34,15.123417,9967.510586,4,buy-small,59.293716,0.000000,6974.490926,225.661031,1.549887
35,15.004299,9981.576186,0,sell-large,0.000000,112.830516,8468.007736,112.830516,2.993020
36,14.665270,9967.619051,4,nothing,0.000000,0.000000,8468.007736,112.830516,0.000000
37,14.088006,9963.017842,1,sell-large,0.000000,56.415258,9216.313782,56.415258,1.499611
38,14.156728,9927.717829,1,buy-small,69.492168,0.000000,8294.682404,125.907425,1.843263
39,13.923073,9952.136569,1,buy-small,63.824297,0.000000,7465.214164,189.731723,1.658936
40,13.689418,9946.124861,1,buy-small,56.839536,0.000000,6718.692747,246.571259,1.493043
41,13.474090,9962.517701,4,buy-small,51.227205,0.000000,6046.823473,297.798464,1.343739
42,13.744396,9966.105933,1,sell-large,0.000000,148.899232,8000.754893,148.899232,3.915694
43,13.959725,9995.204117,4,buy-small,60.494213,0.000000,7200.679403,209.393445,1.600151
44,14.065099,9978.019761,0,sell-large,0.000000,104.696723,8595.147235,104.696723,2.794525
45,13.886421,9966.507833,1,nothing,0.000000,0.000000,8595.147235,104.696723,0.000000
46,13.776466,9930.482008,4,buy-small,65.488536,0.000000,7735.632512,170.185258,1.719029
47,13.451183,9900.607887,1,sell-large,0.000000,85.092629,8830.862410,85.092629,2.194849
48,13.432856,9915.195444,1,buy-small,70.104378,0.000000,7947.776169,155.197008,1.766172
49,13.556556,9900.635935,4,buy-small,62.569486,0.000000,7152.998552,217.766494,1.589555
50,14.010121,9907.865160,1,sell-large,0.000000,108.883247,8524.069606,108.883247,2.747637
51,14.220869,9908.576997,4,buy-small,66.937064,0.000000,7671.662645,175.820311,1.704814
52,14.376638,9899.895916,1,sell-large,0.000000,87.910156,8787.882907,87.910156,2.236914
53,14.784389,9909.664939,4,buy-small,69.333637,0.000000,7909.094616,157.243793,1.757577
54,14.495756,9903.702060,1,sell-large,0.000000,78.621897,8907.379207,78.621897,2.000570
55,14.394964,9897.149489,1,buy-small,70.149391,0.000000,8016.641286,148.771288,1.781476
56,14.637782,9869.313607,4,buy-small,63.294632,0.000000,7214.977158,212.065920,1.603328
57,14.532408,9815.165954,1,sell-large,0.000000,106.032960,8539.491046,106.032960,2.654336
58,14.330824,9755.114672,4,buy-small,70.837529,0.000000,7685.541941,176.870489,1.707898
59,14.353731,9757.907004,1,sell-large,0.000000,88.435244,8718.258734,88.435244,2.069573
60,14.367476,9764.350181,1,buy-small,74.011506,0.000000,7846.432860,162.446750,1.743652
61,14.317079,9800.512845,4,buy-small,66.326022,0.000000,7061.789574,228.772772,1.569287
62,14.427035,9814.543967,1,sell-large,0.000000,114.386386,8428.412486,114.386386,2.738723
63,14.358313,9795.174678,4,buy-small,69.413866,0.000000,7585.571238,183.800252,1.685682
64,14.385801,9784.965352,1,sell-large,0.000000,91.900126,8688.163354,91.900126,2.209603
65,14.266683,9806.598372,4,buy-small,72.651803,0.000000,7819.347019,164.551929,1.737633
66,14.275846,9803.857226,0,sell-large,0.000000,82.275964,8810.985444,82.275964,1.987251
67,14.078843,9811.772996,0,nothing,0.000000,0.000000,8810.985444,82.275964,0.000000
68,14.051354,9803.857226,0,nothing,0.000000,0.000000,8810.985444,82.275964,0.000000
69,14.092588,9795.187478,1,nothing,0.000000,0.000000,8810.985444,82.275964,0.000000
70,14.225450,9784.860661,1,buy-small,73.509547,0.000000,7929.886900,155.785512,1.762197
71,14.220869,9780.219864,4,buy-small,66.464054,0.000000,7136.898210,222.249566,1.585977
72,14.193380,9783.176787,1,sell-large,0.000000,111.124783,8455.915715,111.124783,2.643322
73,14.101751,9782.318521,4,buy-small,70.655464,0.000000,7610.324144,181.780247,1.691183
74,14.504919,9771.401896,1,sell-large,0.000000,90.890124,8694.149338,90.890124,2.171994
75,14.463686,9817.026951,2,buy-small,73.207706,0.000000,7824.734404,164.097829,1.738830
76,14.358313,10078.453784,4,buy-large,321.602841,0.000000,3912.367202,485.700671,7.824734
77,14.587386,10071.175442,4,sell-large,0.000000,242.850335,6989.244406,242.850335,6.166087
78,14.578223,10094.239750,1,sell-large,0.000000,121.425168,8527.127993,121.425168,3.081931
79,14.431616,10102.835229,0,buy-small,65.938956,0.000000,7674.415194,187.364124,1.705426
80,14.211706,10074.507835,0,nothing,0.000000,0.000000,7674.415194,187.364124,0.000000
81,14.207124,10029.012640,0,nothing,0.000000,0.000000,7674.415194,187.364124,0.000000
82,14.317079,9986.092578,0,nothing,0.000000,0.000000,7674.415194,187.364124,0.000000
83,14.486594,9990.384528,1,nothing,0.000000,0.000000,7674.415194,187.364124,0.000000
84,14.065099,9954.581186,0,buy-small,61.962576,0.000000,6906.973675,249.326699,1.534883
85,13.904748,10013.979782,1,nothing,0.000000,0.000000,6906.973675,249.326699,0.000000
86,13.826863,9973.518611,1,buy-small,55.315268,0.000000,6216.276307,304.641968,1.381395
87,13.762723,9873.079290,0,buy-small,50.301551,0.000000,5594.648676,354.943519,1.243255
88,13.533649,9967.396657,1,nothing,0.000000,0.000000,5594.648676,354.943519,0.000000
89,13.565719,10008.455696,4,buy-small,45.321906,0.000000,5035.183809,400.265425,1.118930
90,13.240435,10058.496305,4,sell-large,0.000000,200.132712,7516.846481,200.132712,4.973272
91,13.006780,10071.083488,0,sell-large,0.000000,100.066356,8785.129743,100.066356,2.541650
92,12.919733,10070.625084,0,nothing,0.000000,0.000000,8785.129743,100.066356,0.000000
93,13.043432,10060.080692,0,nothing,0.000000,0.000000,8785.129743,100.066356,0.000000
94,13.263343,10029.822927,0,nothing,0.000000,0.000000,8785.129743,100.066356,0.000000
